,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
3852,Vanderbilt University,Electrical Engineering,34200.0,1.49,2018-2019,5th,"RA pay. Tuition, fees, and health insurance are also  covered.",-86.80421050000001,36.146879999999996
3853,Tufts University (TU),Biology,32769.0,1.17,2018-2019,5th,We are now unionized!,-71.115059,42.40899
3854,Georgetown University,Biochemistry and Molecular Biology,31000.0,1.0,2018-2019,2nd,,-77.072684,38.907701875
3855,California Institute of Technology (Caltech),Physics,34000.0,1.31,2018-2019,1st,,-118.12562600000001,34.138344000000004
3856,University of Southern California (USC),Slavic,32000.0,1.24,2019-2020,1st,,-118.14106,34.146771
3857,Rensselaer Polytechnic Institute (RPI),,24000.0,1.05,2019-2020,6th and up,,-73.67859899999999,42.7300305
3858,University of Notre Dame (ND),Biophysics,30500.0,1.49,2018-2019,,,151.218944,-33.88136
3859,Northwestern University (NU),Mechanical Engineering ,31216.0,1.29,2018-2019,,$125/quarter in fees back to The Graduate School -- BUT includes free legal counsel and free CTA usage (Chicago Public Transit),-87.681944,42.050146
3860,"University of California , Los Angeles (UCLA)",Sociology,30000.0,1.16,2019-2020,1st,"30,000 for first 2 years if staying  on campus for summer. 28,000 is going abroad. Don't have to TA years 1 and 5. 24,000 for years 3-5. ",-118.444563,34.071048
3861,Vanderbilt University,Chemical and Biomolecular Engineering,30000.0,1.31,2018-2019,3rd,"This does not include scholarship money which pays for tuition, rec center access, and health insurance.",-86.80421050000001,36.146879999999996
3862,University of Delaware (UD),Materials Science and Engineering,26800.0,1.06,2018-2019,4th,,-75.74845024999999,39.679881249999994
3863,University of Louisville (U of L),science,22500.0,1.09,2019-2020,1st,,-85.584006,38.253366
3864,New York University (NYU),Philosophy/PhD,35792.0,1.2,2018-2019,2nd,,-73.9621555,40.807559499999996
3865,Yale University (YU),Linguistics/PhD,31800.0,1.29,2018-2019,1st,,-88.9972051619975,20.721291176
3868,"University of Texas Southwestern Medical Center , Dallas",Basic Science ,34500.0,1.6,2018-2019,1st,,-96.858624,32.811842
3869,Northern Arizona University (NAU),Astronomy and Planetary Sciences,33500.0,1.43,2019-2020,1st,,-111.658162,35.189018
3870,Indiana University,PHTX,27000.0,1.25,2018-2019,6th and up,,-86.520913,39.16719
3871,,,18400.0,,2018-2019,1st,,,
3872,Colorado State University (CSU),Forest and Rangeland Stewardship,16160.0,0.72,2017-2018,2nd,,-104.575749,38.309376
3873,"University of California , Berkeley",Vision Science,31000.0,1.12,2018-2019,1st,,-122.2591495,37.870498999999995
3874,University of Cincinnati (UC),Biological Sciences,22000.0,1.14,2015-2016,1st,,-84.515631,39.1319205
3875,Indiana University,Spanish and Portuguese/ Hispanic Linguistics (PhD),20775.0,0.96,2018-2019,1st,"Summer funding came from a merit-based fellowship. Taxes take funding down to around $13,780. These fees are for international students, domestic students pay about half of that. ",-86.520913,39.16719
3876,"University of North Carolina , Chapel Hill (UNC)",English,15100.0,0.68,2018-2019,3rd,,-79.049486,35.9083286875
3877,"University of Nebraska , Lincoln (NU)",Entomology,21800.0,1.12,2017-2018,3rd,,-96.70419,40.816183
3878,"University of Minnesota , Twin Cities (UM)",psychology ,19000.0,0.83,2018-2019,1st,,51.4,25.42
3879,"University of California , San Diego (UCSD)",Scripps Institution of Oceanography,30000.0,1.13,2019-2020,1st,,-122.0575945,36.9901525
3880,"University of Michigan , Ann Arbor (UM)",Robotics,31620.0,1.37,2018-2019,1st,,-83.73849799999999,42.2771875
3881,University of Rochester (UR),"Computer Science, PhD",31990.0,1.5,2018-2019,1st,NSF Research Traineeship stipend,7.497353,46.308815
3882,University of Delaware (UD),chemical engineering,30773.0,1.21,2018-2019,1st,,-75.74845024999999,39.679881249999994
3883,University of Delaware (UD),BME,28500.0,1.12,2019-2020,,,-75.74845024999999,39.679881249999994
3884,Boston College (BC),social work,20000.0,0.72,2018-2019,1st,"It is paid in 8, not 9, installments",-71.16855,42.337411
3885,Princeton University,EE,37000.0,1.46,2018-2019,1st,,-74.65832225,40.3451335
3887,"Louisiana State University , Baton Rouge",Biology,19000.0,0.88,2018-2019,5th,"~ $4,000 per year for out of pocket fees. These go up about $100-$300 per year. ",-91.178322,30.414605
3889,University of Pittsburgh,Chemical Engineering,29000.0,1.4,2019-2020,1st,,-79.9543695,40.443979
3890,Yale University (YU),Neuroscience,35850.0,1.45,2018-2019,1st,,-88.9972051619975,20.721291176
3891,National university of ireland galway,Microbiology,18000.0,,2018-2019,1st,,-9.061357,53.277882375000004
3892,University of Cincinnati (UC),Neuroscience,31000.0,1.61,2018-2019,,,-84.515631,39.1319205
3893,"University of North Carolina , Chapel Hill (UNC)",American Studies,14731.0,0.66,2018-2019,1st,,-79.049486,35.9083286875
3894,"University of Hawaii , Manoa (UH)",Ssbm,21000.0,0.69,2018-2019,1st,,-81.3465,40.3931
3895,University of Montana (UM),Wildlife Biology,19296.0,0.88,2018-2019,2nd,"Research assistantship:
Tuition remission; my supervisor funds health but not dental insurance (however, most faculty do not); occasional partial fee remission; 2 semesters of TA responsibilities over course of PhD required by institution",-113.977146,46.856083
3896,University of Oklahoma Health Sciences Center,GPiBS,26000.0,1.29,2018-2019,4th,,-97.156613,49.903451
3897,"University of California , Santa Barbara (UCSB)",Chemical Engineering,34500.0,1.31,2019-2020,1st,,-119.84887,34.413272
