,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
1,University of Arizona (U of A),Economics,21000.0,1.01,2020-2021,1st,$10500 per semester. RA/TA required. Need to pay ~$600 per semester.,-110.944859,32.224454
2,University of Arizona (U of A),Economics,19800.0,0.96,2020-2021,1st,,-110.944859,32.224454
3,University of Florida,ECE,22600.0,,2020-2021,1st,,-82.34826699999999,29.647456
4,University of Virginia (UVA),ECE,26000.0,1.14,2020-2021,1st,,-78.5039985,38.035165
5,"University of Wisconsin , Madison (UW)",,27333.0,1.2,2020-2021,,,-89.408095,43.073243500000004
6,Washington University in St. Louis (Wash U),olin,35000.0,1.69,2020-2021,1st,,-90.311359,38.648015
7,"University of Tennessee , Knoxville",Economics,18500.0,0.87,2020-2021,1st,,-83.930266,35.9530525
8,New York University (NYU),Computer Science ,32851.0,1.1,2020-2021,1st,,-73.9621555,40.807559499999996
9,New York University (NYU),Sociology,33500.0,1.13,2020-2021,1st,,-73.9621555,40.807559499999996
11,Wright State University (WSU),BMS,21157.0,1.07,2020-2021,1st,,-84.064915,39.781415499999994
13,Washington University in St. Louis (Wash U),Imaging Science in Engineering,31000.0,1.5,2020-2021,1st,Also received an enhancement to monthly base support to cover student health fee charges.,-90.311359,38.648015
14,University of Liverpool,Physics,18929.0,,2019-2020,1st,,-2.9682538125000004,53.405499500000005
15,University of Delaware (UD),Geography & Spatial Sciences,27000.0,1.06,2020-2021,2nd,,-75.74845024999999,39.679881249999994
16,"Stony Brook University , SUNY",biomedical engineering ,27000.0,0.97,2020-2021,,,-73.124151,40.914502
17,Yale University (YU),Classics,32700.0,1.32,2020-2021,1st,"Health insurance included. I also receive an additional scholarship of $3,000 for the first 3 years of PhD plus a $2,000 research award for conference or fieldwork expenses.",-88.9972051619975,20.721291176
18,Tufts University (TU),Molecular Microbiology,35250.0,1.26,2020-2021,2nd,,-71.115059,42.40899
19,Albert Einstein College of Medicine,Biomedical Science,38000.0,,2020-2021,1st,,-73.8454565,40.85072
20,Cornell University (CU),Neuroscience,42230.0,1.74,2020-2021,2nd,,-74.08083,4.59889
21,Dalhousie University,Psychology and Neuroscience,10000.0,,2019-2020,1st,"Our funding is also capped. This means that even if we win grants in an amount that surpasses our funding cap then we get the award as an ""honourary"".",-63.590612,44.6370765
22,Massachusetts Institute of Technology (MIT),Chemical Engineering,43380.0,1.55,2020-2021,3rd,,-71.0935805,42.358984
23,"University of California , Berkeley",Psychology,29000.0,1.04,2020-2021,1st,,-122.2591495,37.870498999999995
24,"Rutgers the State University of New Jersey , New Brunswick",Linguistics,26800.0,1.04,2019-2020,1st,,-74.447763,40.50005625
25,"University of North Carolina , Greensboro (UNCG)",Communication Sciences and Disorders,10000.0,0.47,2020-2021,4th,,-79.792,36.0726
26,"University of North Carolina , Greensboro (UNCG)",Communication Sciences and Disorders,10000.0,0.47,2020-2021,4th,I have a master#,-79.792,36.0726
27,Duke University (DU),Biomedical Engineering ,27700.0,1.25,2019-2020,4th,,-78.9371308,36.0060219
28,"University of Wisconsin , Madison (UW)",Computer Science,27000.0,1.18,2020-2021,2nd,,-89.408095,43.073243500000004
29,"University of Texas , Dallas (UTD)",Psychological Sciences,18600.0,0.86,2017-2018,5th,,-96.750326,32.985556
30,"University of Wisconsin , Milwaukee (UWM)",English,13000.0,0.61,2020-2021,5th,,-87.885015,43.077074
31,"University of North Carolina , Chapel Hill (UNC)",Musicology,18000.0,0.81,2020-2021,3rd,,-79.049486,35.9083286875
32,Cornell University (CU),Microbiology,34958.0,1.44,2020-2021,3rd,,-74.08083,4.59889
33,"University of Wisconsin , Madison (UW)",Anthropology ,20100.0,0.88,2020-2021,4th,,-89.408095,43.073243500000004
35,Colorado State University (CSU),Mathematics,19200.0,0.85,2019-2020,1st,"9 month is with a teaching assistantship, summer is an RA",-104.575749,38.309376
36,"University of Alabama , Birmingham (UAB)",GBS,31000.0,1.44,2020-2021,5th,,-86.802087,33.506034
37,Old Dominion University (ODU),Biology,17000.0,0.64,2019-2020,,"If youre lucky enough to be one of the few that gets a TAship over the summer you can make up to 21,000-22,000 a year but very few people get it in this department. ",-76.300447,36.884704
38,University of Virginia (UVA),Economics ,22500.0,0.99,2019-2020,1st,,-78.5039985,38.035165
39,,,22000.0,,2020-2021,5th,,,
40,"University of California , San Diego (UCSD)",Language and Communicative Disorders,23000.0,0.87,2019-2020,1st,,-122.0575945,36.9901525
41,"University of Wisconsin , Madison (UW)",Microbiology Doctoral Training Program,28400.0,1.24,2020-2021,4th,,-89.408095,43.073243500000004
42,University of Utah,Mathematics,26000.0,1.17,2020-2021,1st,,-111.837882,40.769755
43,University of Iowa (UI),Department of Anthropology ,20064.0,0.9,2020-2021,3rd,"Required fees tend to vary. For anthropology courses its cheaper, but taking biology courses will be a higher fee. ",-91.580951,41.674908
44,"University of California , Santa Cruz",EPS,21000.0,0.78,2020-2021,4th,,-122.0575945,36.9901525
45,Columbia University (CU),Counseling Psychology,24766.0,0.83,2020-2021,1st,,-74.08083,4.59889
48,University of Otago,Psychology,24305.0,,2016-2017,3rd,In New Zealand Dollars. Stipend is tax free.,170.5134355,-45.8657665
49,"University of California , Berkeley",Chemistry,36000.0,1.3,2017-2018,1st,"TA stipend paid on top of extental fellowship, amounts to ~10K bonus",-122.2591495,37.870498999999995
50,University of Zurich,Economics,44555.0,,2020-2021,1st,,8.5476405,47.376401
51,,BSTP,30000.0,,2019-2020,1st,Can waive healthcare fee if already covered. Tuition covered thru BSTP PhD program. ,,
52,Case Western Reserve University,BSTP,30000.0,1.5,2019-2020,1st,Can waive healthcare fee if already covered. Tuition covered thru BSTP PhD program. ,-81.609739,41.504526
53,Stanford University (SU),,45600.0,1.59,2019-2020,,,-115.114218,36.002823
54,University of Pennsylvania,Biochemistry and Molecular Biology,34000.0,1.41,2020-2021,2nd,,-75.191259,39.9492625
55,Australian National University,RseS,29000.0,,2020-2021,3rd,,149.1181075,-35.283985
56,Harvard University (HU),Systems Biology,40500.0,1.41,2020-2021,2nd,"Healthcare, gym membership, tuition, $1000 move-in stipend, all included.",-6.95,37.25
57,"University of Maryland , College Park (UMD)","Applied Mathematics & Statistics, Scientific Computation (AMSC)",19277.0,0.64,2020-2021,2nd,"The amount for required fees is yearly, but it is billed as $815 per semester. The first two years of the program, nearly everyone is awarded a $5,000 yearly fellowship, which is not included in the gross pay above. It expires after the first two years.",-76.94796,38.984325999999996
58,University of Georgia (UGA),Pharmaceutical and Biomedical Sciences,25600.0,1.21,2019-2020,1st,,43.881434770301,42.3842114527972
59,Cornell University (CU),Biophysics,36900.0,1.52,2020-2021,2nd,Very comfortable stipend compared to the cost of living in Ithaca ,-74.08083,4.59889
60,Emory University,Cancer Biology,31000.0,1.33,2019-2020,1st,,-84.38642250000001,33.76855425
61,"University of Hawaii , Manoa (UH)",Earth Sciences,31200.0,1.02,2018-2019,4th,,-81.3465,40.3931
62,University of British Columbia ,,14400.0,,2020-2021,4th,,-123.250612,49.264573
63,University of Virginia (UVA),,24000.0,1.05,2019-2020,2nd,,-78.5039985,38.035165
64,Brandeis University,Neuroscience,35000.0,1.25,2020-2021,1st,,-71.259119,42.366078
65,Indiana University,Anthropology ,15745.0,0.73,2020-2021,4th,,-86.520913,39.16719
67,Northwestern University (NU),Anthropology,29780.0,1.23,2020-2021,4th,24k after taxes,-87.681944,42.050146
68,Marquette University,philosphy,16900.0,0.79,2020-2021,6th and up,,-87.928479,43.038180499999996
69,Virginia Commonwealth University (VCU),Biomedical Engineering ,27000.0,1.09,2020-2021,5th,1000 pay raise after PhD Candidacy ,-77.452015,37.548297
75,"University of Nebraska , Lincoln (NU)",Communication Studies,15800.0,0.81,2019-2020,4th,,-96.70419,40.816183
76,University of Kansas (KU),CS/PhD,19000.0,0.93,2020-2021,2nd,,47.5906041080513,29.3412115743027
77,"Purdue University , West Lafayette",Communication ,25500.0,1.21,2020-2021,1st,Compensated for teaching a 2-2 course load. ,-86.92597925,40.426348000000004
78,Case Western Reserve University,Sociology ,16000.0,0.93,2011-2012,3rd,,-81.609739,41.504526
79,Case Western Reserve University,Sociology ,18000.0,1.05,2010-2011,2nd,,-81.609739,41.504526
80,Case Western Reserve University,Sociology ,18000.0,1.05,2009-2010,1st,,-81.609739,41.504526
81,Duke University (DU),Computational Biology and Biology,32000.0,1.44,2020-2021,3rd,,-78.9371308,36.0060219
82,"University of California , Davis (UCD)",Philosophy,21900.0,0.91,2020-2021,1st,"My total package with tuition remission is $40,422 with a 3% increase per year",-121.75182699999999,38.539555
83,University of Southern California (USC),Biology,35000.0,1.35,2020-2021,3rd,,-118.14106,34.146771
84,,,25000.0,,2020-2021,,,,
85,Harvard University (HU),Engineering ,36000.0,1.26,2020-2021,1st,,-6.95,37.25
87,Kent State University (KSU),Sociology,18000.0,0.91,2020-2021,1st,,11.255723,43.770458
88,University of Alberta,Business,25000.0,,2020-2021,2nd,,-113.52286649999999,53.5246715
89,,BME,28700.0,,2020-2021,3rd,,,
90,Georgia Institute of Technology (Georgia Tech),BME,28700.0,1.23,2020-2021,3rd,,-84.3926795,33.78023525
92,Tennessee State University (TSU),Biology,15000.0,0.65,2020-2021,4th,,-89.990919,35.120488
93,Florida Atlantic University (FAU),Integrative Biology,23000.0,0.96,2020-2021,3rd,,-80.101683,26.375454
94,San Diego State University (SDSU),Computational Science,25000.0,0.94,2020-2021,1st,"University Fellowship. Not sure if you can earn more by TAing during the summer, but you probably can. Not likely to accept my offer, though.",-90.676855,35.839503
96,Trinity College Dublin,Chemistry,16000.0,,2020-2021,3rd,"We are paid a tax exempt stipend of 16000 euro, with fees covered by the grant.  We also are paid for teaching hours.",-6.257573875,53.34432087500001
97,,Statistics,18000.0,,2020-2021,1st,,,
98,University of Padua,Statistics,18000.0,,2020-2021,1st,,11.8804325,45.4071405
99,"University of Alabama , Huntsville (UAH)",Space Sciences,14700.0,0.69,2018-2019,1st,,-86.640411,34.728416
100,University of Louisville (U of L),College of Education and Human Development ,24000.0,1.16,2020-2021,1st,,-85.584006,38.253366
101,University of Missouri (MU),Accounting,25900.0,1.26,2020-2021,1st,"Also pays for a computer, health care and additional fund of $1500 for travel",-117.319692,34.173184
102,Ohio State University (OSU),Neuroscience ,27600.0,1.38,2017-2018,6th and up,,-83.029862,40.020121
103,,,35500.0,,2020-2021,,,,
104,"University of California , Riverside (UCR)",Electrical and Computer Engineering,25000.0,1.04,2019-2020,,,-117.327529,33.970224
105,Columbia University (CU),,41520.0,1.4,2020-2021,1st,,-74.08083,4.59889
106,Indiana University,Mathematics,19630.0,0.91,2020-2021,4th,"$18,600 for 9 months. Summer pay is in the range $1,000 ~ $4,000 depending on the job that you get.  Mandatory fees are about $900 per semester. Prior to 2020/2021 school year you also had to pay 5.5% of the tuition (that is about $550 for international students)",-86.520913,39.16719
108,Columbia University (CU),Graduate School of Arts and Sciences,41000.0,1.38,2020-2021,1st,"Dean's Fellow, includes health insurance, guarantee graduate housing in lower rate around university. ",-74.08083,4.59889
109,Massachusetts Institute of Technology (MIT),Mechanical,36984.0,1.32,2020-2021,1st,,-71.0935805,42.358984
110,Vanderbilt University,English,26000.0,1.13,2020-2021,3rd,,-86.80421050000001,36.146879999999996
111,Wayne State University,Pharmaceutical Sciences,25000.0,1.2,2020-2021,,,-83.0696575,42.3568145
112,Carnegie Mellon University (CMU),Robotics Institute,36000.0,1.74,2020-2021,1st,,-79.9449435,40.44288975
113,"University of Illinois , Chicago (UIC)",Chemistry ,26400.0,1.09,2020-2021,4th,Fees are 50% less if you use your own healthcare provider.,-87.650264,41.873436
114,Florida State University (FSU),College of Communication and Infromation,15857.0,0.68,2020-2021,1st,,-84.298289,30.444751
116,Cornell University (CU),Neuroscience,41800.0,1.72,2020-2021,5th,fees for insurance premiums,-74.08083,4.59889
117,Uniformed Services University of the Health Sciences,Clinical Psychology,33790.0,1.12,2020-2021,2nd,"Pay includes subway and books. University does not reimburse fully for health insurance (will cost ~$320/month), no annual pay increases, not allowed to get outside employment or take loans, no additional stipends allowed.",-77.0861685,39.001329
118,University of Southern California (USC),Neurobiology,33520.0,1.3,2020-2021,4th,,-118.14106,34.146771
119,,,33500.0,,2020-2021,,,,
120,Scripps Research Institute (SRI),Chemistry,31000.0,1.17,2019-2020,5th,,-117.239207,32.902363
121,The Catholic University of America,Physics,26750.0,0.87,2020-2021,4th,,-76.996299,38.933378
122,"University of Illinois , Chicago (UIC)",Biological Sciences,25203.0,1.04,2019-2020,3rd,"This is for a 50% TA ship during the fall and spring semester, and a 67% TA position during the second summer term. Fees do not include the campus care insurance fee, which would be another $1,350 a year. In my program support is guaranteed for 5-years through TA positions during the year. Summer support is not guaranteed, but so far I have had summer support every year.  ",-87.650264,41.873436
123,West Virginia University (WVU),Physics,21750.0,0.97,2020-2021,1st,,-79.981236,39.6492345
124,Tulane University (TU),French,22000.0,0.95,2019-2020,3rd,,-87.55,33.21
125,Pennsylvania State University (Penn State),Sociology,20000.0,0.89,2016-2017,1st,,-77.86414400000001,40.801520749999995
126,Pennsylvania State University (Penn State),Chemical engineering ,35310.0,1.57,2020-2021,1st,,-77.86414400000001,40.801520749999995
127,"Rutgers the State University of New Jersey , New Brunswick",,32000.0,1.24,2020-2021,4th,,-74.447763,40.50005625
128,"University of Maryland , College Park (UMD)",Geography,37500.0,1.24,2020-2021,,,-76.94796,38.984325999999996
129,"University at Buffalo , SUNY",chemistry,26000.0,1.24,2020-2021,1st,,103.776405,1.328776
130,University of Utah,Computer Science,37875.0,1.7,2020-2021,2nd,,-111.837882,40.769755
131,"University at Buffalo , SUNY",Computer Science and Engineering,26200.0,1.25,2020-2021,1st,,103.776405,1.328776
132,"Texas A&M University , College Station",Physics,25200.0,,2020-2021,1st,,-96.34213299999999,30.614044
133,University of Connecticut (UConn),,35700.0,1.47,2020-2021,1st,,-72.2481995,41.807010500000004
134,Pennsylvania State University (Penn State),Biomedical Sciences,30500.0,1.36,2020-2021,3rd,,-77.86414400000001,40.801520749999995
135,University of Chicago,Chemistry,33640.0,,2019-2020,1st,,-87.604687,41.789889
136,University of Houston (UH),Chemical Engineering,30000.0,1.37,2020-2021,1st,,-95.360387,29.766112
137,Gerstner Sloan Kettering (Memorial Sloan Kettering Cancer Center),Cancer Biology,42230.0,,2020-2021,1st,,-73.9568425,40.764390500000005
138,Stanford University (SU),Civil and Environmental Engineering,43228.0,1.5,2019-2020,3rd,,-115.114218,36.002823
139,"Stony Brook University , SUNY",Chemistry,34600.0,1.24,2020-2021,1st,,-73.124151,40.914502
140,"University of Michigan , Ann Arbor (UM)",Neuroscience,32739.0,1.42,2020-2021,2nd,,-83.73849799999999,42.2771875
141,Pennsylvania State University (Penn State),Statistics,37000.0,1.65,2019-2020,1st,(on a first-year fellowship which offers a higher stipend rate),-77.86414400000001,40.801520749999995
143,"University of Arkansas , Little Rock (UALR)",Computer Science,18000.0,0.86,2020-2021,1st,,-92.343652,34.775825
144,,Computer Science,18000.0,,2020-2021,1st,,,
146,"University of Texas Southwestern Medical Center , Dallas",Applied Clinical Research,35000.0,1.62,2020-2021,1st,,-96.858624,32.811842
147,Pennsylvania State University (Penn State),English,30000.0,1.34,2020-2021,1st,,-77.86414400000001,40.801520749999995
148,,Rehabilitation Sciences,30000.0,,2020-2021,1st,,,
149,Pennsylvania State University (Penn State),Chemical Engineering,32300.0,1.44,2020-2021,1st,,-77.86414400000001,40.801520749999995
151,"Texas A&M University , College Station",Chemistry,26500.0,,2020-2021,2nd,,-96.34213299999999,30.614044
152,"Texas A&M University , College Station",Chemistry,24100.0,,2020-2021,2nd,,-96.34213299999999,30.614044
153,"Texas A&M University , College Station",Chemistry,24100.0,,2020-2021,1st,,-96.34213299999999,30.614044
154,"University of California , San Diego (UCSD)",Computer Science,32000.0,1.21,2020-2021,1st,,-122.0575945,36.9901525
155,"University of California , San Diego (UCSD)",Computer science,24000.0,0.91,2020-2021,1st,,-122.0575945,36.9901525
156,The Ohio State University,EEOB,28950.0,,2020-2021,2nd,,-83.01,40.0
157,Massachusetts Institute of Technology (MIT),Physics ,41156.0,1.47,2020-2021,2nd,,-71.0935805,42.358984
158,Harvard University (HU),Applied Physics,38916.0,1.36,2020-2021,1st,,-6.95,37.25
159,"University of Texas Health Science Center , San Antonio",IBMS,30000.0,1.44,2020-2021,1st,,-98.4951,29.4246
161,Stanford University (SU),Chemistry,45000.0,1.57,2020-2021,,,-115.114218,36.002823
162,Case Western Reserve University,Molecular Medicine,32500.0,1.63,2020-2021,1st,Includes $2500 move in fee,-81.609739,41.504526
163,"Stony Brook University , SUNY",English,25200.0,0.9,2020-2021,3rd,,-73.124151,40.914502
164,Princeton University,"Department of Music, Musicology",34250.0,1.35,2020-2021,1st,,-74.65832225,40.3451335
165,Indiana University,Earth and atmospheric science,20200.0,0.94,2020-2021,1st,,-86.520913,39.16719
166,Johns Hopkins University (JHU),Earth and Planetary Science,33333.0,1.3,2019-2020,1st,"$2000 one time bonus upon enrollment. To be used for education/research/moving related expenses.
Funding is fixed through all years in the program.
Funding is guaranteed by department for 4 years. However, students can almost always obtain funding for additional years of study as necessary.",-76.6203555,39.328937499999995
167,Princeton University,Molecular Biology,35036.0,1.38,2020-2021,1st,,-74.65832225,40.3451335
168,Virginia Commonwealth University (VCU),Biomedical Sciences Doctoral Portal,30000.0,1.21,2020-2021,1st,,-77.452015,37.548297
169,Harvard University (HU),Biological Sciences in Public Health,40560.0,1.42,2020-2021,1st,Gross Pay is before Taxes. so After taxes roughly 2918 per month ,-6.95,37.25
170,Vanderbilt University,,37000.0,1.61,2020-2021,1st,,-86.80421050000001,36.146879999999996
171,,Materials Science and Engineering,28050.0,,2020-2021,1st,,,
172,Carnegie Mellon University (CMU),Materials Science and Engineering,28050.0,1.36,2020-2021,1st,,-79.9449435,40.44288975
174,University of South Carolina (USC),Chemistry and Biochemistry,25000.0,1.11,2020-2021,1st,,-80.375953,33.933773
176,University of Delaware (UD),Materials Science and Engineering,26750.0,1.05,2020-2021,3rd,,-75.74845024999999,39.679881249999994
177,University of Utah,Computer Science,35841.0,1.61,2020-2021,2nd,"RA is double paid in summer, so it's a 15-month salary",-111.837882,40.769755
178,Case Western Reserve University,Molecular medicine ,32500.0,1.63,2020-2021,1st,,-81.609739,41.504526
179,University of Virginia (UVA),Economics,24000.0,1.05,2020-2021,1st,,-78.5039985,38.035165
180,"University of California , San Francisco (UCSF)",biomedical sciences,41200.0,1.38,2020-2021,1st,,-122.458398,37.763313
181,University of South Florida (UCF),Psychology,16831.0,0.77,2020-2021,3rd,,-81.199302,28.595836
182,Arizona State University (ASU),History,18564.0,0.84,2020-2021,1st,,-111.93225100000001,33.4210665
183,Virginia Tech,Aerospace Engineering,24000.0,1.14,2020-2021,1st,,-80.40839349999999,37.207
184,Syracuse University,,28500.0,1.33,2020-2021,,,-76.13476,43.038514
185,"University of Hawaii , Manoa (UH)",Astronomy,32100.0,1.05,2020-2021,5th,,-81.3465,40.3931
186,Georgia Institute of Technology (Georgia Tech),Chemical Engineering,27080.0,1.16,2020-2021,1st,"I received a wavier of standard out of state tuition but must pay a reduced matriculation fee of 25 per semester along with all assessed fee ($1,012 per term). I need to pay for health insurance roughly $700 per year .",-84.3926795,33.78023525
187,Georgia State University (GSU),information system,26000.0,1.12,2020-2021,1st,,-84.389137,33.756428
188,The Hong Kong University of Science and Technology,Division of Social Science,34540.0,,2020-2021,1st,Got additional 5000 USD in the first year.,114.26321100000001,22.3374505
189,Pennsylvania State University (Penn State),Plant pathology,27900.0,1.24,2020-2021,1st,,-77.86414400000001,40.801520749999995
190,"University of Illinois , Chicago (UIC)",GEMS,31620.0,1.3,2020-2021,1st,,-87.650264,41.873436
191,New York University (NYU),Economics,38000.0,1.28,2020-2021,1st,,-73.9621555,40.807559499999996
192,Vanderbilt University,Mechanical Engineering,30000.0,1.31,2020-2021,3rd,"I am a 3rd year grad student, but the salary I listed is valid for all years (we do not receive milestone raises).  Nashville is expensive, but I find that the after tax revenue is enough to live alone near campus (I walk to work) and still save money.  This could change, of course, depending on each persons required monthly expenses.  Additionally, health insurance has always been included in the TA/RA offer.  We do not receive vision or dental, but they are both available for a low price ($11 per month for vision for me, and Vanderbilt has a student discount with local dentists such that cleanings can be easily afforded out of pocket).  ",-86.80421050000001,36.146879999999996
193,Vanderbilt University,Biological Science ,32000.0,1.39,2020-2021,1st,,-86.80421050000001,36.146879999999996
194,University of Chicago (UC),Computer Science,36000.0,1.48,2020-2021,,,-77.040457,38.898701
195,University of Southern California (USC),Communication,30000.0,1.16,2020-2021,1st,,-118.14106,34.146771
196,"University of North Carolina , Chapel Hill (UNC)","Biology - Ecology, Evolution, and Organismal Biology",19500.0,0.88,2020-2021,3rd,Before taxes,-79.049486,35.9083286875
197,"University of Nevada , Reno (UNR)",NRES,22200.0,1.06,2020-2021,1st,,-116.598821819119,40.0711202976
199,"University of Maryland , Baltimore (UMB)",Pharmaceutical Health Services Research (PHSR) ,25000.0,0.97,2020-2021,2nd,,-76.626143,39.287555
200,University of Utah,bioscience,29130.0,1.31,2020-2021,1st,,-111.837882,40.769755
201,"University of California , Irvine (UCI)",Mathematics,21746.0,0.74,2019-2020,2nd,,-117.841987,33.649718
202,New York University (NYU),MEIS,28850.0,0.97,2020-2021,3rd,"When teaching, graduate workers get an additional ~6k per semester. Teaching positions are limited and not available all years. ",-73.9621555,40.807559499999996
203,"University of California , Los Angeles (UCLA)",Linguistics,35500.0,1.37,2020-2021,6th and up,,-118.444563,34.071048
204,"University of California , Santa Cruz",Film and Digital Media,21906.0,0.81,2020-2021,4th,the number entered is before taxes,-122.0575945,36.9901525
205,Massachusetts Institute of Technology (MIT),Urban Studies and Planning,33000.0,1.18,2020-2021,1st,,-71.0935805,42.358984
206,University of Georgia (UGA),Education ,24000.0,1.13,2020-2021,1st,,43.881434770301,42.3842114527972
207,Princeton University,Geosciences,41800.0,1.64,2020-2021,1st,,-74.65832225,40.3451335
208,University of Tennessee Health Science Center,Biomedical Sciences,28000.0,1.25,2020-2021,1st,,-90.03297,35.140192
209,Virginia Commonwealth University (VCU),Medicinal Chemistry Department,27418.0,1.1,2020-2021,3rd,"State wages complete to $23,860.57 (based of W2 earnings for 2019).",-77.452015,37.548297
210,"University of California , San Diego (UCSD)",Psychology,38000.0,1.44,2020-2021,6th and up,,-122.0575945,36.9901525
211,"University of Texas , Austin (UT)",Physics,28654.0,1.26,2020-2021,1st,,-97.734734,30.269594
212,"University of Alabama , Huntsville (UAH)",Electrical And Computer Engineering,14867.0,0.7,2019-2020,1st,,-86.640411,34.728416
213,Wright State University (WSU),Biomedical Science,19175.0,0.97,2020-2021,2nd,,-84.064915,39.781415499999994
214,Stanford University (SU),Theater and Performance Studies,36300.0,1.26,2020-2021,1st,Additional summer funding for the first two years. ,-115.114218,36.002823
215,Southern Methodist University (SMU),Engineering,24000.0,1.11,2020-2021,1st,,-96.7847485,32.8429835
218,Rowan University ,Mechanical Engineering,30000.0,,2019-2020,1st,,-75.119952,39.710092
219,Georgia Institute of Technology (Georgia Tech),Machine Learning PhD Program (Home Dept: ECE),25400.0,1.09,2020-2021,4th,,-84.3926795,33.78023525
220,Johns Hopkins University (JHU),Medicine,34223.0,1.33,2020-2021,1st,,-76.6203555,39.328937499999995
221,Stanford University (SU),Physics,48100.0,1.67,2020-2021,1st,VPGE fellowship stipend for 2020-2021,-115.114218,36.002823
222,Old Dominion University (ODU),Computer Science,16700.0,0.63,2018-2019,1st,,-76.300447,36.884704
223,"University of Minnesota , Twin Cities (UM)",Applied Plant Sciences,29366.0,1.28,2020-2021,3rd,,51.4,25.42
224,Colorado State University (CSU),Chemistry,24200.0,1.08,2020-2021,2nd,"First Year fees are more than double this, but I was offered a fellowship which covered their cost. Also includes full healthcare coverage through the university.",-104.575749,38.309376
225,Baylor College of Medicine,biotechnology,30000.0,1.37,2020-2021,,,-95.39637,29.7105295
227,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,23900.0,1.03,2020-2021,2nd,Fees ~1k per fall/spring and $500 for the summer. Health Insurance not included in these fees. Tuition is waived.,-84.3926795,33.78023525
228,,Civil Engineering,24000.0,,2020-2021,,,,
229,"Kansas State University (K,State)",Civil Engineering,24000.0,1.09,2020-2021,,,-99.4368761,40.575773
230,Vanderbilt University,Chemical & Physical Biology,32100.0,1.4,2020-2021,5th,,-86.80421050000001,36.146879999999996
232,"Rutgers the State University of New Jersey , New Brunswick",Clinical Psychology,25000.0,0.97,2020-2021,1st,,-74.447763,40.50005625
233,Princeton University,Psychology,40960.0,1.61,2020-2021,1st,,-74.65832225,40.3451335
234,University of Southern California (USC),physics,32000.0,1.24,2020-2021,1st,,-118.14106,34.146771
235,University of Vermont (UVM),Neuroscience,28975.0,1.11,2020-2021,1st,,-73.1972305,44.477892999999995
236,North Carolina State University (NCSU),Biomedical Engineering,39000.0,1.71,2020-2021,3rd,NSF GRFP (34K) plus supplement from advisor (5k),-78.6727755,35.7861945
237,"University of Wisconsin , Madison (UW)",Educational Psychology,18100.0,0.79,2020-2021,1st,,-89.408095,43.073243500000004
238,The Ohio State University,Sociology,26000.0,,2020-2021,1st,fellowship 1st 2nd and last year,-83.01,40.0
239,Indiana University,Sociology,21500.0,1.0,2020-2021,1st,Increase in 500 each year for 3 years,-86.520913,39.16719
240,Case Western Reserve University,math,17892.0,0.89,2019-2020,2nd,,-81.609739,41.504526
242,"University of Louisiana , Lafayette",Biology,22100.0,1.05,2020-2021,1st,TA stipend and additional scholarship from the Biology department. Health insurance not included.,-92.01738800000001,30.213642999999998
243,University of Virginia (UVA),Psychology,24000.0,1.05,2019-2020,1st,,-78.5039985,38.035165
244,University of Virginia (UVA),Psychology,24000.0,1.05,2020-2021,3rd,,-78.5039985,38.035165
245,University of Virginia (UVA),Psychology,24000.0,1.05,2020-2021,1st,,-78.5039985,38.035165
246,University of Virginia (UVA),Psychology,20000.0,0.88,2019-2020,5th,,-78.5039985,38.035165
248,University of Virginia (UVA),Psychology,24000.0,1.05,2020-2021,5th,,-78.5039985,38.035165
250,Yale University (YU),Religion,32700.0,1.32,2020-2021,1st,,-88.9972051619975,20.721291176
251,Iowa State University (ISU),Physics,24100.0,1.14,2018-2019,3rd,,-93.632669,42.006866
252,University of Pennsylvania,Bioengineering,34500.0,1.43,2020-2021,1st,,-75.191259,39.9492625
254,Pennsylvania State University (Penn State),,39000.0,1.74,2020-2021,1st,,-77.86414400000001,40.801520749999995
255,Northwestern University (NU),Mechanical Engineering,32425.0,1.34,2020-2021,1st,We get paid about $2700 a month and the fees are only $125 per quarter. And health insurance worth over $4000,-87.681944,42.050146
256,"University of Michigan , Ann Arbor (UM)",Aerospace Department ,32664.0,1.42,2020-2021,1st,Health and dental insurance benefits included. Tuition for Fall and Winter terms. ,-83.73849799999999,42.2771875
257,"University of California , Davis (UCD)",Biophysics,32000.0,1.33,2020-2021,1st,,-121.75182699999999,38.539555
258,University of Oregon (UO),Media ,37337.0,1.78,2020-2021,1st,,-123.072036,44.048269
259,Syracuse University,geography,25533.0,1.2,2020-2021,1st,,-76.13476,43.038514
260,Massachusetts Institute of Technology (MIT),Physics,41133.0,1.47,2020-2021,5th,Stipend change not going into effect until September ,-71.0935805,42.358984
261,University of Alabama (UA),Engineering,15750.0,0.75,2020-2021,1st,,55.415171,25.105754
262,Oklahoma State University (OSU),Industrial Engineering MS,11000.0,0.57,2019-2020,2nd,,-95.988563,36.163864
263,Texas Tech University (TTU),Computer Science PhD,29000.0,1.43,2020-2021,1st,,-101.886033,33.590215
264,University of Utah,Computer Science,29100.0,1.31,2020-2021,,,-111.837882,40.769755
265,,Computer Science,24400.0,,2019-2020,1st,It's very cheap in Pullman and funding is very good relatively. Though summer funding is not ensured for all. It's 2200 per month.,,
